-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        27.53%       12.678s        27.53%       12.678s     132.061ms            96                                                          [[8, 256, 5120], [], []]            --  
                                               aten::mm        17.76%        8.176s        17.76%        8.176s      56.777ms           144                                                     [[2048, 5120], [5120, 13824]]  41747082117120.000  
                                               aten::mm        16.39%        7.549s        16.39%        7.549s      52.424ms           144                                                    [[2048, 13824], [13824, 5120]]  41747082117120.000  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...         9.94%        4.577s        10.07%        4.636s      96.574ms            48  [[8, 40, 256, 128], [8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [8, 4            --  
                                 torch_dcpu::linear_cpu         7.07%        3.256s         7.16%        3.295s      68.652ms            48                                              [[2048, 5120], [5120, 5120], [5120]]            --  
                                               aten::mm         5.58%        2.568s         5.58%        2.568s      26.747ms            96                                                      [[2048, 5120], [5120, 5120]]  10307921510400.000  
                                 torch_dcpu::linear_cpu         1.89%     871.080ms         1.91%     879.275ms      18.318ms            48                                              [[2048, 5120], [1024, 5120], [1024]]            --  
                                               aten::mm         1.25%     576.510ms         1.25%     576.512ms     576.512ms             1                                                  [[2048, 152064], [152064, 5120]]  3189013217280.000  
                                            aten::copy_         1.03%     472.329ms         1.03%     472.329ms     547.311us           863                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
                                              aten::mul         0.99%     457.293ms         0.99%     457.293ms       1.197ms           382                                                  [[8, 256, 5120], [8, 256, 5120]]  4005560320.000  
                                            aten::addmm         0.88%     405.309ms         0.89%     408.177ms       8.504ms            48                                      [[1024], [2048, 5120], [5120, 1024], [], []]  1030792151040.000  
                                               aten::mm         0.71%     328.300ms         0.71%     328.361ms       6.986ms            47                                                      [[2048, 1024], [1024, 5120]]  1009317314560.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.71%     325.707ms         0.74%     342.886ms       7.143ms            48           [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], []]            --  
