-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        22.32%       10.404s        22.32%       10.404s     108.376ms            96                                                          [[8, 256, 5120], [], []]            --  
                                               aten::mm        17.80%        8.299s        17.80%        8.299s      57.633ms           144                                                     [[2048, 5120], [5120, 13824]]  41747082117120.000  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...        17.31%        8.071s        17.46%        8.139s     169.569ms            48  [[8, 40, 256, 128], [8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [8, 4            --  
                                               aten::mm        16.39%        7.640s        16.39%        7.640s      53.057ms           144                                                    [[2048, 13824], [13824, 5120]]  41747082117120.000  
                                               aten::mm         5.49%        2.560s         5.49%        2.560s      26.665ms            96                                                      [[2048, 5120], [5120, 5120]]  10307921510400.000  
                                 torch_dcpu::linear_cpu         4.90%        2.286s         4.99%        2.325s      48.440ms            48                                              [[2048, 5120], [5120, 5120], [5120]]            --  
                                               aten::mm         1.42%     663.698ms         1.42%     663.803ms       7.062ms            94                                                      [[2048, 1024], [1024, 5120]]  2018634629120.000  
                                               aten::mm         1.24%     578.200ms         1.24%     578.201ms     578.201ms             1                                                  [[2048, 152064], [152064, 5120]]  3189013217280.000  
                                              aten::mul         1.00%     467.099ms         1.00%     467.099ms       1.223ms           382                                                  [[8, 256, 5120], [8, 256, 5120]]  4005560320.000  
                                            aten::copy_         0.95%     441.400ms         0.95%     441.400ms     511.472us           863                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
                                            aten::addmm         0.89%     416.385ms         0.90%     419.268ms       8.735ms            48                                      [[1024], [2048, 5120], [5120, 1024], [], []]  1030792151040.000  
                                               aten::mm         0.86%     401.494ms         0.86%     401.524ms       8.365ms            48                                                      [[2048, 5120], [5120, 1024]]  1030792151040.000  
                                               aten::mm         0.72%     334.136ms         0.72%     334.137ms     334.137ms             1                                                    [[2048, 5120], [5120, 152064]]  3189013217280.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.70%     326.143ms         0.74%     343.244ms       7.151ms            48           [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], []]            --  
