-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                               aten::mm        21.49%        4.771s        21.49%        4.771s      49.702ms            96                                                     [[2040, 4096], [4096, 14336]]  22999549870080.000  
                                               aten::mm        20.81%        4.622s        20.81%        4.622s      48.144ms            96                                                    [[2040, 14336], [14336, 4096]]  22999549870080.000  
                                       aten::bernoulli_        19.20%        4.263s        19.20%        4.263s      66.608ms            64                                                          [[8, 255, 4096], [], []]            --  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...        10.16%        2.256s        10.38%        2.304s      72.010ms            32  [[8, 32, 255, 128], [8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [8, 3            --  
                                               aten::mm         9.24%        2.052s         9.24%        2.052s      16.160ms           127                                                      [[2040, 4096], [4096, 4096]]  8693282242560.000  
                                               aten::mm         2.11%     467.631ms         2.11%     467.678ms       7.307ms            64                                                      [[2040, 4096], [4096, 1024]]  1095216660480.000  
                                               aten::mm         1.54%     340.930ms         1.54%     340.995ms       5.500ms            62                                                      [[2040, 1024], [1024, 4096]]  1060991139840.000  
                                               aten::mm         1.48%     329.424ms         1.48%     329.425ms     329.425ms             1                                                  [[2040, 128256], [128256, 4096]]  2143373230080.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         1.14%     252.637ms         1.18%     262.430ms       8.201ms            32           [[8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [], [], [], []]            --  
                                              aten::mul         1.06%     234.295ms         1.06%     234.295ms     922.421us           254                                                  [[8, 255, 4096], [8, 255, 4096]]  2122383360.000  
                                               aten::mm         1.03%     228.952ms         1.03%     228.953ms     228.953ms             1                                                    [[2040, 4096], [4096, 128256]]  2143373230080.000  
                                            aten::copy_         1.02%     227.130ms         1.02%     227.130ms     395.009us           575                                              [[8, 255, 4096], [8, 255, 4096], []]            --  
                                              aten::mul         0.66%     147.590ms         0.66%     147.590ms       1.537ms            96                                                [[8, 255, 14336], [8, 255, 14336]]  2807562240.000  
                                             aten::add_         0.56%     124.714ms         0.56%     124.714ms     496.869us           251                                              [[8, 255, 4096], [8, 255, 4096], []]            --  
